Number of Variables,Time,Date,Trasition Name,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,¿ÀÈÄ 10:43:50,19/10/2018,"[['l', ['f:3.659400 r:0.703900']], ['l', ['f:8.960500 r:5.606300']]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,hmi_RCSLT459_VALUE,hmi_RCSLT461_VALUE,hmi_CVCLT149_VALUE,hmi_CVCFT121_VALUE,hmi_CVCPT120_VALUE,hmi_CVCFT142A_VALUE,hmi_CVCFT143A_VALUE,hmi_CVCFT144A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT158_VALUE,hmi_CVCFT159_VALUE,hmi_CVCFT160_VALUE,hmi_CVCFT161B_VALUE,hmi_CVCFT215A_VALUE,hmi_CVCFT215B_VALUE,hmi_CVCTT127A_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCPT115_VALUE,hmi_CSSLT09_VALUE,hmi_CSSLT10_VALUE,hmi_CHSRT311_VALUE,hmi_CHSRT312_VALUE,hmi_CHSRT313_VALUE,hmi_CHSRT321_VALUE,hmi_CHSRT322_VALUE,hmi_CHSRT323_VALUE,hmi_CPSRT221_VALUE,hmi_CPSRT222_VALUE,hmi_CPSRT223_VALUE,hmi_CPSRT331_VALUE,hmi_CPSRT332_VALUE,hmi_CPSRT333_VALUE,hmi_CVCTT130A_VALUE,hmi_CVCIT1_VALUE,hmi_CVCIT7_VALUE,hmi_CVCIT17_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT403A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT443C_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT463A_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPT455A_VALUE
Description,[RCS] PRESSUREURIZER LEVEL,[RCS] PRESSUREURIZER LEVEL,[CVC] VOLUME CONTROL TANK LVL,[CVC] CHARG PMP DISCH HDR FLOW,[CVC] CHARG PMP DISCH HDR PRESS,[CVC] RCP-2B SEAL WTR FLOW,[CVC] RCP-2A SEAL WTR FLOW,[CVC] RCP-1B SEAL WTR FLOW,[CVC] RCP-1A SEAL WTR FLOW,[CVC] RCP-2B #1 SEAL LEAK FLOW,[CVC] RCP-2A #1 SEAL LEAK FLOW,[CVC] RCP-1B #1 SEAL LEAK FLOW,[CVC] RCP-1A #1 SEAL LEAK FLOW,[CVC] RCP TOTAL SEAL INJECTION FLOW,[CVC] RCP TOTAL SEAL INJECTION FLOW,[CVC] RGNR HX LETDOWN OUT TEMP,[CVC] LETDOWN HX OUT FLOW,[CVC] VOLUME CONTROL TANK PRESS,[CSS] NORMAL SUMP A LEVEL,[CSS] NORMAL SUMP B LEVEL,[CHS] CONTAINMENT ATMOS (GTRE31-PART),[CHS] CONTAINMENT ATMOS (GTRE31-IOD),[CHS] CONTAINMENT ATMOS (GTRE31-GAS),[CHS] CONTAINMENT ATMOS (GTRE32-PART),[CHS] CONTAINMENT ATMOS (GTRE32-IOD),[CHS] CONTAINMENT ATMOS (GTRE32-GAS),[CPS] CTMT PURGE EXHAUST PART,[CPS] CTMT PURGE EXHAUST IODINE,[CPS] CTMT PURGE EXHAUST GAS,[CPS] CTMT PURGE EXHAUST PART,[CPS] CTMT PURGE EXHAUST IODINE,[CPS] CTMT PURGE EXHAUST GAS,[CVC] LTDWN HX LETDOWN OUT TEMP,[CVC] NCP RUNNING CURRENT,[CVC] CHARG PMP A AMP,[CVC] CHARG PMP B AMP,[RCS] RCL-1 TAVG,[RCS] RCL-1A DELTA TEMP,[RCS] RCL-1 WIDE RNG HOT LEG TEMP,[RCS] WIDE RNG COLD LEG-1A T,[RCS] RCL-2 TAVG,[RCS] RCL-1B DELTA TEMP,[RCS] WIDE RNG COLD LEG-1B T,[RCS] RCL-2 WIDE RNG HOT LEG TEMP,[RCS] WIDE RNG COLD LEG-2A T,[RCS] WIDE RNG COLD LEG-2B T,[RCS] RCL-2A DELTA TEMP,[RCS] PZR SURGE LINE TEMP,[RCS] PZR SPRAY WATER A IN TEMP,[RCS] PZR SPRAY WATER B IN TEMP,[RCS] PRESSURIZER WATER TEMP,[RCS] PRESSURIZER STEAM TEMP,[RCS] RCL-2B DELTA TEMP,[RCS] STM GEN 1 WIDE RNG LEVEL,[RCS] STM GEN 2 WIDE RNG LEVEL,[RCS] STM GEN 1 NAR RNG LEVEL,[RCS] STM GEN 2 NAR RNG LEVEL,[MRS] STEAM GENERATOR-1 MAIN STEAM LINE-1A PRESSURE,[MRS] STEAM GENERATOR-1 MAIN STEAM LINE-1B PRESSURE,[MRS] STEAM GENERATOR-2 MAIN STEAM LINE-2A PRESSURE,[MRS] STEAM GENERATOR-2 MAIN STEAM LINE-2B PRESSURE,[RCS] PZR CH1 PRESS
Units,PCT,PCT,PCT,L/S,KG/CM2,L/S,L/S,L/S,L/S,L/S,L/S,L/S,L/S,L/S,L/S,DEGC,L/S,KG/CM2,PCT,PCT,MBq,MBq,MBq,MBq,MBq,MBq,MBq,MBq,MBq,MBq,MBq,MBq,DEGC,AMP,AMP,AMP,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,DEGC,PCT,PCT,PCT,PCT,KG/CM2,KG/CM2,KG/CM2,KG/CM2,KG/CM2
Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.813208262,0.118935414,0.430320242,0.818819015,0.920745407,0.929021769,0.241252979,0.438264757,0.74308008,0.975621058,0.686859879,0.380127383,0.812968421,0.690484779,0.704766856,0.841287639,0.986664352,0.89484963,0.583244229,0.885225536,0.915337686,0.207827379,0.706429665,0.508770121,0.046300724,0.674955997,0.15119799,0.768287784,0.458105184,0.812896175,0.568485898,0.31367013,0.955836505,0.387184498,0.538414565,0.165758918,0.092559557,0.05178907,0.289680647,0.817524256,0.906879937,0.116710775,0.986589101,0.808265441,0.59384284,0.351904911,0.508948177,0.129065485,0.0533423,0.174314165,0.341557444,0.832957349,0.76526897,0.830267144,0.814719923,0.3590448,0.836927568,0.220142762,0.244026551,0.48238865,0.843378481,0.776031603
1,0.004134224,0.515817022,0.179356522,0.263819583,0.348759805,0.420763043,0.860769799,0.780794945,0.912765294,0.623367399,0.057402298,0.428209729,0.975999434,0.474683863,0.905488078,0.378732249,0.510878961,0.391440983,0.57302657,0.75683255,0.787859851,0.699379854,0.151870046,0.0716306,0.018977026,0.18137785,0.072266568,0.750898751,0.311607774,0.608513659,0.975678303,0.546508767,0.932454018,0.625298279,0.563607166,0.350960727,0.486380768,0.101968113,0.384137954,0.97940155,0.123305324,0.588803729,0.192600621,0.007009134,0.0198295,0.628629658,0.369021739,0.058368282,0.275442497,0.919379645,0.925820244,0.536611365,0.297147877,0.118736454,0.325816193,0.056987709,0.139873121,0.997609883,0.304102605,0.303861268,0.111628338,0.957424216
2,0.624339491,0.379615834,0.340053991,0.10666317,0.872992777,0.283229503,0.926818561,0.920451406,0.918720012,0.487724134,0.197225947,0.161206393,0.726287549,0.384034132,0.446310571,0.881673564,0.814112454,0.156358748,0.885645684,0.516053902,0.487505231,0.975682271,0.978588084,0.275593756,0.95595082,0.476279004,0.7549287,0.165628577,0.382767217,0.996477961,0.072017888,0.723117866,0.449067763,0.890482529,0.188568949,0.111604717,0.367700765,0.010534658,0.921466681,0.487333771,0.027718693,0.774405401,0.55479905,0.822449232,0.912980076,0.345173445,0.232090693,0.014332953,0.593177409,0.998957738,0.824090403,0.5277701,0.80605611,0.40812691,0.509920717,0.149896353,0.954010457,0.151596277,0.057010098,0.477145973,0.448166859,0.457327417
3,0.736147028,0.764749818,0.554088988,0.658372829,0.694911688,0.732526799,0.735415499,0.54994015,0.711793349,0.676048307,0.708530917,0.026466886,0.297635292,0.713992819,0.765265622,0.02821006,0.6297174,0.582227705,0.367803665,0.157123438,0.868172243,0.084681994,0.192959206,0.552212679,0.086361318,0.524438815,0.236190285,0.529381441,0.767838388,0.319007735,0.55540908,0.747765921,0.286789659,0.679580371,0.002591317,0.408236207,0.330486955,0.315096154,0.404836606,0.40986045,0.658653013,0.88090846,0.115594768,0.041829326,0.590344405,0.265448246,0.153782738,0.278015518,0.282314045,0.384340043,0.424354467,0.485942741,0.687859719,0.181496453,0.584721345,0.920454154,0.655356658,0.248614167,0.071533942,0.761631634,0.67394362,0.280131306
4,0.170931879,0.490408545,0.893224688,0.299007817,0.977728405,0.835809321,0.946967151,0.588011914,0.483445948,0.250981054,0.770168118,0.125939519,0.331134691,0.334111767,0.176239533,0.144433042,0.225658588,0.963119275,0.100443769,0.536655882,0.198107167,0.52882066,0.238553717,0.822090378,0.006673028,0.6413641,0.852749388,0.027393226,0.983923337,0.567314981,0.089451069,0.02051149,0.250247216,0.224318608,0.719829115,0.856335466,0.375181171,0.855660662,0.498041718,0.131108152,0.642127438,0.359166353,0.694189194,0.918198534,0.703543554,0.570893376,0.503484537,0.869267849,0.273159462,0.668282515,0.814730138,0.706007365,0.350678124,0.545772655,0.246271138,0.634488772,0.789949388,0.823582608,0.969356406,0.250993022,0.281892913,0.27403456
